,title,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count,poster_path,return,genre_1,genre_2
41,Jurassic World Dominion,en,Four years after the destruction of Isla Nublar Biosyn operatives attempt to track down Maisie Lockwood while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.,498.995,Universal Pictures-Amblin Entertainment,2022-06-01,165000000.0,1001978080.0,147.0,6.907,4475.0,/kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,6.072594424242424,Adventure,Action
52,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",en,Siblings Lucy Edmund Susan and Peter step through a magical wardrobe and find the land of Narnia. There they discover a charming once peaceful kingdom that has been plunged into eternal winter by the evil White Witch Jadis. Aided by the wise and magnificent lion Aslan the children lead Narnia into a spectacular climactic battle to be free of the Witch's glacial powers forever.,461.782,Other,2005-12-07,180000000.0,745013115.0,143.0,7.118,9329.0,/iREd0rNCjYdf5Ar0vfaW32yrkm.jpg,4.13896175,Adventure,Family
54,The Woman King,en,The story of the Agojie the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.,447.638,Other,2022-09-16,50000000.0,91000000.0,135.0,7.811,1265.0,/438QXt1E3WJWb3PqNniK0tAE5c1.jpg,1.82,Action,Drama
55,Strange World,en,A journey deep into an uncharted and treacherous land where fantastical creatures await the legendary Clades—a family of explorers whose differences threaten to topple their latest and by far most crucial mission.,446.358,Walt Disney Pictures-Walt Disney Animation Studios,2022-11-23,180000000.0,73621640.0,102.0,6.539,813.0,/fHMqfsYyl3lskPK2RiFRwhzwuep.jpg,0.4090091111111111,Animation,Family
59,Glass Onion: A Knives Out Mystery,en,World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,430.749,Other,2022-11-23,40000000.0,13280000.0,140.0,7.095,3584.0,/vDGr1YdrlfbU9wxTOdpf3zChmv9.jpg,0.332,Comedy,Crime
64,Thor: Love and Thunder,en,After his retirement is interrupted by Gorr the God Butcher a galactic killer who seeks the extinction of the gods Thor Odinson enlists the help of King Valkyrie Korg and ex-girlfriend Jane Foster who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.,385.873,Other,2022-07-06,250000000.0,760928081.0,119.0,6.632,5453.0,/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,3.043712324,Fantasy,Action
67,Top Gun: Maverick,en,After more than thirty years of service as one of the Navy’s top aviators and dodging the advancement in rank that would ground him Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.,376.794,Other,2022-05-24,170000000.0,1488732821.0,131.0,8.308,6136.0,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,8.757251888235293,Action,Drama
69,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,ja,Tanjirō Kamado joined with Inosuke Hashibira a boy raised by boars who wears a boar's head and Zenitsu Agatsuma a scared boy who reveals his true power when he sleeps boards the Infinity Train on a new mission with the Fire Hashira Kyōjurō Rengoku to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!,372.215,Other,2020-10-16,15800000.0,503063688.0,117.0,8.288,2949.0,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,31.839473924050633,Animation,Action
70,Medieval,en,The story of 14th century Czech icon and warlord Jan Zizka who defeated armies of the Teutonic Order and the Holy Roman Empire.,369.355,Other,2022-09-08,23000000.0,4311284.0,126.0,7.211,332.0,/eeUNWsdoiOijOZAMaWFDA5Pb1n8.jpg,0.18744713043478262,History,Action
72,Minions: The Rise of Gru,en,A fanboy of a supervillain supergroup known as the Vicious 6 Gru hatches a plan to become evil enough to join them with the backup of his followers the Minions.,360.998,Other,2022-06-29,85000000.0,939628210.0,87.0,7.465,2639.0,/wKiOkZTN9lUUUNZLmtnwubZYONg.jpg,11.054449529411764,Animation,Comedy
78,Terrifier 2,en,After being resurrected by a sinister entity Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises the siblings fight to stay alive while uncovering the true nature of Art's evil intent.,333.112,Other,2022-10-06,250000.0,12400000.0,138.0,7.0,1025.0,/8gLhu8UFPZfH2Hv11JhTZkb9CVl.jpg,49.6,Horror,
81,Turning Red,en,Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited she transforms into a giant red panda.,311.891,Walt Disney Pictures-Pixar,2022-03-10,190000000.0,18879922.0,100.0,7.496,3931.0,/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,0.09936801052631579,Animation,Family
86,"Lyle, Lyle, Crocodile",en,When the Primm family moves to New York City their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps the Primms must band together to show the world that family can come from the most unexpected places.,303.179,Other,2022-10-07,50000000.0,104088441.0,106.0,7.6,353.0,/irIS5Tn3TXjNi1R9BpWvGAN4CZ1.jpg,2.08176882,Comedy,Family
87,Everything Everywhere All at Once,en,An aging Chinese immigrant is swept up in an insane adventure where she alone can save what's important to her by connecting with the lives she could have led in other universes.,299.687,Other,2022-03-24,25000000.0,105125007.0,140.0,7.996,3273.0,/w3LxiVYdWWRvEVdn5RYq6jIqkb1.jpg,4.20500028,Action,Adventure
89,Sonic the Hedgehog 2,en,After settling in Green Hills Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns this time with a new partner Knuckles in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick Tails and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.,295.576,Other,2022-04-08,110000000.0,402656846.0,122.0,7.599,3699.0,/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg,3.6605167818181816,Action,Adventure
94,Encanto,en,The tale of an extraordinary family the Madrigals who live hidden in the mountains of Colombia in a magical house in a vibrant town in a wondrous charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one Mirabel. But when she discovers that the magic surrounding the Encanto is in danger Mirabel decides that she the only ordinary Madrigal might just be her exceptional family's last hope.,281.488,Walt Disney Pictures-Walt Disney Animation Studios,2021-10-13,50000000.0,253000000.0,102.0,7.654,7969.0,/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,5.06,Animation,Comedy
96,Doctor Strange in the Multiverse of Madness,en,Doctor Strange with the help of mystical allies both old and new traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.,280.114,Other,2022-05-04,200000001.0,955775804.0,126.0,7.403,6992.0,/9Gtg2DzBhmYamXBS1hKAhiwbBKS.jpg,4.778878996105605,Fantasy,Action
99,Avengers: Infinity War,en,As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy his goal is to collect all six Infinity Stones artifacts of unimaginable power and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.,274.933,Marvel Studios,2018-04-25,300000000.0,2046239637.0,149.0,8.262,26376.0,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,6.82079879,Adventure,Action
102,Hacksaw Ridge,en,WWII American Army Medic Desmond T. Doss who served during the Battle of Okinawa refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.,269.007,Other,2016-10-07,40000000.0,175302354.0,139.0,8.189,11951.0,/jhWbYeUNOA5zAb6ufK6pXQFXqTX.jpg,4.38255885,Drama,History
107,Smile,en,After witnessing a bizarre traumatic incident involving a patient Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life Rose must confront her troubling past in order to survive and escape her horrifying new reality.,262.065,Other,2022-09-23,17000000.0,216135048.0,115.0,6.808,1658.0,/aPqcQwu4VGEewPhagWNncDbJ9Xp.jpg,12.713826352941176,Horror,Mystery
111,Titanic,en,101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15 1912.,257.399,Other,1997-11-18,200000000.0,2187463944.0,194.0,7.889,22436.0,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,10.93731972,Drama,Romance
114,Ant-Man,en,Armed with the astonishing ability to shrink in scale but increase in strength master thief Scott Lang must embrace his inner-hero and help his mentor Doctor Hank Pym protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles Pym and Lang must plan and pull off a heist that will save the world.,255.707,Marvel Studios,2015-07-14,130000000.0,519311965.0,117.0,7.083,18017.0,/cj2gWN7TdH1iUG6pUQyqv9N2AXc.jpg,3.9947074230769233,Science Fiction,Action
115,Harry Potter and the Philosopher's Stone,en,Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.,253.012,Other,2001-11-16,125000000.0,976475550.0,152.0,7.9,24273.0,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,7.8118044,Adventure,Fantasy
119,The Batman,en,In his second year of fighting crime Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.,250.879,Other,2022-03-02,185000000.0,770945583.0,177.0,7.7,7528.0,/74xTEgt7R36Fpooo50r9T25onhq.jpg,4.167273421621622,Crime,Mystery
121,Bullet Train,en,Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate however may have other plans as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected yet conflicting objectives—on the world's fastest train.,246.412,Other,2022-07-03,90000000.0,239268602.0,126.0,7.507,3443.0,/tVxDe01Zy3kZqaZRNiXFGDICdZk.jpg,2.658540022222222,Action,Comedy
123,Harry Potter and the Chamber of Secrets,en,Cars fly trees fight back and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry Ron and Hermione’s magical abilities and courage.,243.797,Other,2002-11-13,100000000.0,876688482.0,161.0,7.723,19494.0,/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,8.76688482,Adventure,Fantasy
133,Jeepers Creepers: Reborn,en,Forced to travel with her boyfriend to a horror festival Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy she becomes the center of it while something unearthly has been summoned.,230.032,Other,2022-09-15,5000000.0,5954938.0,88.0,5.775,649.0,/aGBuiirBIQ7o64FmJxO53eYDuro.jpg,1.1909876,Horror,Thriller
135,Harry Potter and the Half-Blood Prince,en,As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end Dumbledore recruits his old friend and colleague Horace Slughorn whom he believes holds crucial information. Even as the decisive showdown looms romance blossoms for Harry Ron Hermione and their classmates. Love is in the air but danger lies ahead and Hogwarts may never be the same again.,229.324,Other,2009-07-07,250000000.0,933959197.0,153.0,7.701,17329.0,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,3.735836788,Adventure,Fantasy
140,Harry Potter and the Goblet of Fire,en,When Harry Potter's name emerges from the Goblet of Fire he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament who did? Now Harry must confront a deadly dragon fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.,223.309,Other,2005-11-16,150000000.0,895921036.0,157.0,7.8,18437.0,/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,5.9728069066666665,Adventure,Fantasy
144,Cocaine Bear,en,An oddball group of cops criminals tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.,219.656,Other,2023-02-22,35000000.0,28000000.0,95.0,7.167,30.0,/gOnmaxHo0412UVr1QM5Nekv1xPi.jpg,0.8,Action,Comedy
148,Harry Potter and the Prisoner of Azkaban,en,Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.,215.656,Other,2004-05-31,130000000.0,789804554.0,141.0,8.021,19105.0,/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,6.075419646153846,Adventure,Fantasy
158,Harry Potter and the Deathly Hallows: Part 2,en,Harry Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.,200.099,Other,2011-07-07,125000000.0,1341511219.0,130.0,8.114,18406.0,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,10.732089752,Fantasy,Adventure
162,Kama Sutra: A Tale of Love,en,Tara and Maya are two inseparable friends in India. Their tastes habits and hobbies are the same. Years later the two have matured but have maintained their friendship. Tara gets married to the local prince Raj Singh who soon succeeds the throne as the sole heir. After the marriage Raj gets bored of Tara and starts seeking another female to satisfy his sexual needs. He notices Maya and is instantly attracted to her. He has her included as one of his courtesans and is intimate with her. Watch what happens when Tara finds out and the extent she will go to keep her marriage intact.,195.639,Other,1996-09-11,3000000.0,4109095.0,117.0,5.6,135.0,/dwbLcEPIjVISly6DW8GLX8vsZlE.jpg,1.3696983333333332,Drama,History
167,Venom: Let There Be Carnage,en,After finding a host body in investigative reporter Eddie Brock the alien symbiote must face a new enemy Carnage the alter ego of serial killer Cletus Kasady.,194.503,Other,2021-09-30,110000000.0,506863592.0,97.0,6.896,8524.0,/rjkmN1dniUHVYAtwuV3Tji7FsDO.jpg,4.607850836363636,Science Fiction,Action
169,Harry Potter and the Deathly Hallows: Part 1,en,Harry Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose the world is more dangerous than ever.,194.331,Other,2010-10-06,250000000.0,954305868.0,146.0,7.771,17053.0,/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg,3.817223472,Adventure,Fantasy
174,Sing 2,en,Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections he and his singers must sneak into the Crystal Entertainment offices run by the ruthless wolf mogul Jimmy Crystal where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.,193.057,Other,2021-12-01,85000000.0,406000000.0,110.0,8.0,3514.0,/aWeKITRFbbwY8txG5uCj4rMCfSP.jpg,4.776470588235294,Animation,Adventure
175,Fantastic Beasts: The Secrets of Dumbledore,en,Professor Albus Dumbledore knows the powerful dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.,190.547,Other,2022-04-06,200000000.0,406950844.0,142.0,6.8,3349.0,/jrgifaYeUtTnaH7NF5Drkgjg2MB.jpg,2.03475422,Fantasy,Adventure
177,Fifty Shades Freed,en,Believing they have left behind shadowy figures from their past newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability new threats could jeopardize their happy ending before it even begins.,188.422,Other,2018-01-17,55000000.0,368307760.0,105.0,6.699,7194.0,/9ZedQHPQVveaIYmDSTazhT3y273.jpg,6.696504727272727,Drama,Romance
178,Harry Potter and the Order of the Phoenix,en,Returning for his fifth year of study at Hogwarts Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice Harry takes matters into his own hands training a small group of students to defend themselves against the dark arts.,188.079,Other,2007-06-28,150000000.0,938212738.0,138.0,7.688,17421.0,/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg,6.254751586666667,Adventure,Fantasy
179,John Wick: Chapter 2,en,John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him Wick travels to Rome and does battle against some of the world’s most dangerous killers.,188.003,Other,2017-02-08,40000000.0,171539887.0,122.0,7.294,10946.0,/kL99FVq572hNPfMyfQCT7tGFNeQ.jpg,4.288497175,Action,Thriller
180,Interstellar,en,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,187.195,Other,2014-11-05,165000000.0,701729206.0,169.0,8.391,30658.0,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,4.252904278787879,Adventure,Drama
181,Ant-Man and the Wasp,en,Just when his time under house arrest is about to end Scott Lang once again puts his freedom at risk to help Hope van Dyne and Dr. Hank Pym dive into the quantum realm and try to accomplish against time and any chance of success a very dangerous rescue mission.,186.971,Marvel Studios,2018-07-04,140000000.0,622674139.0,119.0,6.962,11897.0,/2mnK5VtjzYRWvQB1zLhZWtAJwzk.jpg,4.447672421428571,Action,Adventure
182,Piggy,es,A bullied overweight teenager sees a glimpse of hope when her tormentors are brutally abducted by a mesmerizing stranger.,186.872,Other,2022-10-07,2400000.0,380512.0,100.0,6.7,275.0,/pIFeu5gF7ofAxI9NqrWbJAjjKn6.jpg,0.15854666666666667,Thriller,Drama
183,Uncharted,en,A young street-smart Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.,186.732,Other,2022-02-10,120000000.0,401748820.0,116.0,7.045,4397.0,/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,3.3479068333333335,Action,Adventure
185,Shrek,en,It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon Shrek teams up with an unlikely compatriot -- a wisecracking donkey.,185.035,Other,2001-05-18,60000000.0,487853320.0,90.0,7.716,14953.0,/o04jZs5SXhbvhqO4981W7KJXOWZ.jpg,8.130888666666667,Animation,Comedy
186,The Black Phone,en,Finney Blake a shy but clever 13-year-old boy is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.,184.474,Other,2022-06-22,17000000.0,161440742.0,103.0,7.8,3568.0,/lr11mCT85T1JanlgjMuhs9nMht4.jpg,9.496514235294118,Horror,Thriller
197,The Lion King,en,A young lion prince is cast out of his pride by his cruel uncle who claims he killed his father. While the uncle rules with an iron paw the prince grows up beyond the Savannah living by a philosophy: No worries for the rest of your days. But when his past comes to haunt him the young prince must decide his fate: Will he remain an outcast or face his demons and become what he needs to be?,180.16,Walt Disney Pictures-Walt Disney Feature Animation,1994-06-23,45000000.0,763455561.0,89.0,8.3,16273.0,/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,16.96567913333333,Family,Animation
199,Fifty Shades of Grey,en,When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper little does she realize the path her life will take. Christian as enigmatic as he is rich and powerful finds himself strangely drawn to Ana and she to him. Though sexually inexperienced Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.,179.788,Other,2015-02-11,40000000.0,571006128.0,125.0,5.89,10726.0,/63kGofUkt1Mx0SIL4XI4Z5AoSgt.jpg,14.2751532,Drama,Romance
205,Scream,en,Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.,177.421,Other,2022-01-12,24000000.0,140041405.0,114.0,6.7,2084.0,/fFE6E9jRKaiy7LHxk4jH1jIWzyT.jpg,5.835058541666666,Horror,Mystery
213,A Man Called Otto,en,When a lively young family moves in next door grumpy widower Otto Anderson meets his match in a quick-witted pregnant woman named Marisol leading to an unlikely friendship that turns his world upside down.,173.527,Other,2022-12-28,50000000.0,83000000.0,126.0,7.4,226.0,/130H1gap9lFfiTF9iDrqNIkFvC9.jpg,1.66,Comedy,Drama
214,The Avengers,en,When an unexpected enemy emerges and threatens global safety and security Nick Fury director of the international peacekeeping agency known as S.H.I.E.L.D. finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe a daring recruitment effort begins!,173.523,Marvel Studios,2012-04-25,220000000.0,1518815515.0,143.0,7.707,28233.0,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,6.903706886363636,Science Fiction,Action
215,Tangled,en,When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower he's taken hostage by Rapunzel a beautiful and feisty tower-bound teen with 70 feet of magical golden hair. Flynn's curious captor who's looking for her ticket out of the tower where she's been locked away for years strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade complete with a super-cop horse an over-protective chameleon and a gruff gang of pub thugs.,173.078,Walt Disney Pictures-Walt Disney Animation Studios,2010-11-24,260000000.0,592461732.0,100.0,7.581,10024.0,/ym7Kst6a4uodryxqbGOxmewF235.jpg,2.2786989692307693,Animation,Family
225,Creed,en,The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson the son of his late friend and former rival Apollo Creed.,169.188,Other,2015-11-25,37000000.0,173567581.0,133.0,7.398,6400.0,/1BfTsk5VWuw8FCocAhCyqnRbEzq.jpg,4.691015702702702,Drama,Action
